site_code,trt,plot,block,cover_year,Sample_ID,N,P,K,Exclose,Rootsgperm2,pH_rootsample
bldr.us,NK,4,1,2011,184,1,0,1,0,160.2461059,NA
bldr.us,NK,18,2,2011,198,1,0,1,0,101.6887675,NA
bldr.us,PK,16,2,2011,196,0,1,1,0,30.27664872,NA
bldr.us,NPK,7,1,2011,187,1,1,1,0,77.71803586,6.25
bldr.us,K,6,1,2011,186,0,0,1,0,135.1058271,NA
bldr.us,NP,8,1,2011,188,1,1,0,0,143.5941742,NA
bldr.us,Fence,2,1,2011,182,0,0,0,1,212.4241339,NA
bldr.us,NP,20,2,2011,200,1,1,0,0,106.2564717,NA
bldr.us,N,3,1,2011,183,1,0,0,0,68.81195614,NA
bldr.us,NPK,17,2,2011,197,1,1,1,0,87.84211385,6.82
bldr.us,N,11,2,2011,191,1,0,0,0,393.2899261,NA
bldr.us,PK,5,1,2011,185,0,1,1,0,325.4400138,NA
bldr.us,NPK+Fence,15,2,2011,195,1,1,1,1,134.2158969,NA
bldr.us,NPK+Fence,9,1,2011,189,1,1,1,1,71.04543246,NA
bldr.us,P,1,1,2011,181,0,1,0,0,192.6562994,NA
bldr.us,K,13,2,2011,193,0,0,1,0,194.329691,NA
bldr.us,Control,10,1,2011,190,0,0,0,0,28.74761462,6.82
bldr.us,Fence,19,2,2011,199,0,0,0,1,184.5356587,NA
bldr.us,Control,12,2,2011,192,0,0,0,0,146.1258574,7.11
bldr.us,P,14,2,2011,194,0,1,0,0,121.2523625,NA
bnch.us,P,27,3,2011,1147,0,1,0,0,1347.354566,5.94
bnch.us,K,2,1,2011,1122,0,0,1,0,2562.577878,6.11
bnch.us,NPK+Fence,9,1,2011,1129,1,1,1,1,489.0364203,5.62
bnch.us,Fence,26,3,2011,1146,0,0,0,1,663.2417803,5.61
bnch.us,K,30,3,2011,1150,0,0,1,0,1460.925457,5.63
bnch.us,NPK,17,2,2011,1137,1,1,1,0,1728.920279,6.07
bnch.us,Fence,19,2,2011,1139,0,0,0,1,924.3801092,6.1
bnch.us,NP,6,1,2011,1126,1,1,0,0,1129.547107,5.49
bnch.us,N,15,2,2011,1135,1,0,0,0,1166.911509,4.89
bnch.us,P,12,2,2011,1132,0,1,0,0,941.3241362,5.91
bnch.us,Control,25,3,2011,1145,0,0,0,0,1315.256268,5.92
bnch.us,PK,3,1,2011,1123,0,1,1,0,1164.86854,6.04
bnch.us,K,14,2,2011,1134,0,0,1,0,301.7658308,5.69
bnch.us,NP,16,2,2011,1136,1,1,0,0,470.8129655,5.96
bnch.us,NPK+Fence,13,2,2011,1133,1,1,1,1,933.192068,5.49
bnch.us,NK,18,2,2011,1138,1,0,1,0,1047.014278,5.41
bnch.us,NPK,24,3,2011,1144,1,1,1,0,1196.807342,5.4
bnch.us,PK,11,2,2011,1131,0,1,1,0,656.1811696,5.95
bnch.us,P,8,1,2011,1128,0,1,0,0,439.2572944,5.96
bnch.us,NK,29,3,2011,1149,1,0,1,0,2171.131475,4.94
bnch.us,NP,22,3,2011,1142,1,1,0,0,1207.840535,5.24
bnch.us,PK,23,3,2011,1143,0,1,1,0,1944.510993,5.63
bnch.us,NPK,5,1,2011,1125,1,1,1,0,878.666072,5.55
bnch.us,Fence,10,1,2011,1130,0,0,0,1,2656.490215,6.06
bnch.us,N,4,1,2011,1124,1,0,0,0,1303.142492,5.27
bnch.us,N,21,3,2011,1141,1,0,0,0,990.6862585,4.85
bnch.us,NK,1,1,2011,1121,1,0,1,0,1081.146393,5.52
bnch.us,Control,20,2,2011,1140,0,0,0,0,1525.275709,6.26
bnch.us,Control,7,1,2011,1127,0,0,0,0,950.2711526,6.04
bnch.us,NPK+Fence,28,3,2011,1148,1,1,1,1,770.4551479,5.61
bogong.au,NPK,5,1,2012,785,1,1,1,0,625.163114,4.61
bogong.au,NK,30,3,2012,810,1,0,1,0,453.9554391,4.62
bogong.au,NP,8,1,2012,788,1,1,0,0,416.9729979,4.43
bogong.au,NK,6,1,2012,786,1,0,1,0,314.9748585,4.45
bogong.au,N,1,1,2012,781,1,0,0,0,753.3460459,4.45
bogong.au,NPK,23,3,2012,803,1,1,1,0,324.3761197,4.45
bogong.au,Control,21,3,2012,801,0,0,0,0,393.6178903,4.42
